,File,Settings,Toolchain,Result,Overall time,Overall iterations,Automata difference,Dead end removal time,Minimization time,Time for computing Hoare annotation,BasicInterpolantAutomatonTime,BiggestAbstraction,EdgeCheckerBenchmarkData_SDtfs,EdgeCheckerBenchmarkData_SDslu,EdgeCheckerBenchmarkData_SDs,EdgeCheckerBenchmarkData_lazy,EdgeCheckerBenchmarkData_Sat,EdgeCheckerBenchmarkData_Unsat,EdgeCheckerBenchmarkData_Unknown,EdgeCheckerBenchmarkData_NotChecked,EdgeCheckerBenchmarkData_EdgeCheckerTime,States removed by minization,TraceCheckerBenchmark_SsaConstructionTime,TraceCheckerBenchmark_SatisfiabilityAnalysisTime,TraceCheckerBenchmark_InterpolantComputationTime,TraceCheckerBenchmark_NumberOfCodeBlocks,TraceCheckerBenchmark_NumberOfCodeBlocksAsserted,TraceCheckerBenchmark_NumberOfCheckSat,TraceCheckerBenchmark_SizeOfPredicatesFP,TraceCheckerBenchmark_SizeOfPredicatesBP,TraceCheckerBenchmark_NumberOfQuantifiedPredicates,TraceCheckerBenchmark_Conjuncts in SSA,TraceCheckerBenchmark_Conjuncts in UnsatCore,InterpolantCoveringCapability
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem02_label36_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,SAFE,2606104366,6,1741203727,0,180987831,0,10368231,size=816occurred in iteration=4,677,459,26,0,1322,263,0,0,1214787801,490,73405511,436847829,86220516,617,617,6,0,1173,[I@4dcbee9c,3476,14,143/143
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem02_label36_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,SAFE,25826420927,6,1378661902,0,101730738,0,23763372044,size=816occurred in iteration=4,677,459,26,0,1322,261,0,0,1033330886,490,66417946,336559748,141915857,617,617,6,1173,1173,[I@79e6bab,3476,14,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem02_label36_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,SAFE,2003090876,6,1475444381,0,43597730,0,5878749,size=816occurred in iteration=4,677,459,26,0,1322,263,0,0,1144110006,490,56652536,341670408,51511446,617,617,6,1173,0,[I@31aeab75,3476,14,143/143
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem03_label37_false-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,UNSAFE,29555589124,21,16746285505,0,9475671524,0,31028306,size=143154occurred in iteration=19,5320,3695,608,0,11748,2810,0,0,10973723274,20452,388993495,1721089066,479319004,5008,5008,21,0,11925,[I@60701f1d,10263,62,2199/2313
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem03_label37_false-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,30388239411,5,2332421193,0,40829189,0,27619284923,size=2308occurred in iteration=4,1324,587,175,0,1843,383,0,0,1934981465,1,69929670,195772962,114117671,781,781,5,1174,1174,[I@4f38ca28,1766,12,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem03_label37_false-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,UNSAFE,23796103992,21,15349339574,0,5678480455,0,22368587,size=108450occurred in iteration=19,5163,3606,460,0,12165,2774,0,0,10561458531,18148,363113978,1568928732,350954771,5001,5001,21,10981,0,[I@610ada61,10380,61,2229/2343
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem04_label40_false-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,25970968787,9,21946217714,0,1549250190,0,22744507,size=67554occurred in iteration=8,12144,5807,72,0,18391,7881,0,0,17330578905,5313,210110859,1730748613,295540611,7942,7942,9,0,11727,[I@196030ba,9875,20,2296/2296
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem04_label40_false-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,26395851099,9,21938353959,0,1603367785,0,24725204,size=53892occurred in iteration=7,11896,5886,71,0,18186,7728,0,0,17268170911,12903,246950969,1985161879,397212495,8250,8250,9,12157,0,[I@7a1f1059,10213,20,2915/2915
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem05_label30_false-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,21997251752,4,19815812757,0,178476665,0,22353492,size=13115occurred in iteration=3,12087,3713,48,0,18191,7170,0,0,16085954317,0,147259333,1494173146,249995663,6571,6571,4,0,13141,[I@d6a81b2,7874,9,47/47
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem05_label30_false-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,21954410552,4,19760988576,0,186626678,0,21466549,size=13115occurred in iteration=3,11548,3384,46,0,17449,6811,0,0,16220315779,0,159404380,1512170375,229666852,6571,6571,4,13141,0,[I@4b68d3ff,7874,9,47/47
