,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,P14,Problem14_prop_001.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1236537091457,8207204352,5149256008,0,54197603,0,1,1,548,670,549,666,9,124,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,Default-LBE-Multi+SBE+SimplifyAssumesSBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: Java heap space: java.util.HashMap.inflateTable(HashMap.java:316)],1261971727501.0,7.86432E+9,6002925904,0,9141628,0,1,1,548,1696,549,1692,122,1149,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,Default-LBE-Multi+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: de.uni_freiburg.informatik.ultimate.automata.nwalibrary.reachableStatesAutomaton.StateContainerFieldAndMap$8.iterator(StateContainerFieldAndMap.java:1074)],506046328721.0,7635730432,6324838624,0,6285107,0,1,1,548,1696,549,1692,122,1149,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1236457939521.0,8.060928E+9,5092476688,0,5337022,0,1,1,548,670,549,666,9,124,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,Default-LBE-SNME.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1246041364609.0,8104968192,3522289216,0,5649670,0,1,1,548,670,549,666,10,125,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,Default-LBE-Single.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1242587272439.0,8.12122112E+9,4674242376,0,5032519,0,1,1,548,670,549,666,125,240,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,None+SBE+SimplifyAssumesSBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: java.util.HashMap.inflateTable(HashMap.java:316)],816193350555.0,8146911232,6836821104,0,4215806,0,1,1,548,1696,549,1692,549,1692,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,None+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: de.uni_freiburg.informatik.ultimate.automata.nwalibrary.NestedWordAutomaton$10.iterator(NestedWordAutomaton.java:902)],1031623084382.0,6593445888,7069236872,0,5085656,0,1,1,548,1696,549,1692,549,1692,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,None.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1224529205547.0,7529299968,5005411272,0,4310718,0,1,1,548,670,549,666,549,666,-,-,-,-,-,-,-
,P14,Problem14_prop_003.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1241440990998.0,7931953152,5410246992,0,4221129,0,1,1,548,670,549,666,9,124,-,-,-,-,-,-,-
