,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,bugs,Bug_AssumeFalse.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],503410606,5.0331648E+8,9357296.0,2,114372625,4120893,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SimplifyAssumesSBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],114928499.0,5.0331648E+8,4797152.0,2,41712379,586421,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],97210058.0,5.0331648E+8,5375512.0,2,36292835,340536,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],83588990.0,5.0331648E+8,4690304.0,2,32479713,317838,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-SNME.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],81231071.0,5.0331648E+8,4855992.0,2,30590277,314733,2,4,18,25,27,57,17,29,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,Default-LBE-Single.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],75248799.0,5.0331648E+8,4111784.0,2,29889955,317777,2,4,18,25,27,57,17,29,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_AssumeFalse.c,None+SBE+SimplifyAssumesSBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],105707009.0,5.0331648E+8,8242152.0,3,56015443,4965283,2,4,18,25,27,57,27,57,2,0,0,-,2.5,0.0,0.0
,bugs,Bug_AssumeFalse.c,None+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],80250925.0,5.0331648E+8,6606928.0,3,45213613,1920867,2,4,18,25,27,57,27,57,2,0,0,-,2.5,0.0,0.0
,bugs,Bug_AssumeFalse.c,None.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],85594509.0,5.0331648E+8,8092768.0,3,46027206,1928932,2,4,18,25,27,57,27,57,2,0,0,-,2.5,0.0,0.0
,bugs,Bug_DNF.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],1334541123.0,5.0331648E+8,111753864,9,1283063439,100767915,2,3,15,22,22,39,11,21,5,0,3,-,5.0,0.0,3.3333333333333335
,bugs,Bug_DNF.c,Default-LBE-Multi+SBE+SimplifyAssumesSBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],1036503913.0,5.0331648E+8,20442912,15,991682254,122027213,2,3,15,25,22,48,12,31,11,3,0,-,4.090909090909091,3.3333333333333335,0.0
,bugs,Bug_DNF.c,Default-LBE-Multi+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],999450318.0,5.0331648E+8,16720728,14,961118721,93470481,2,3,15,25,22,48,12,31,10,3,0,-,4.2,3.3333333333333335,0.0
,bugs,Bug_DNF.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],520427321.0,5.0331648E+8,97144408,9,492159583,18820387,2,3,15,22,22,39,11,21,5,3,0,-,5.0,3.3333333333333335,0.0
,bugs,Bug_DNF.c,Default-LBE-SNME.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],277785655.0,5.0331648E+8,59571936,7,253751971,7239935,2,3,15,22,22,39,15,25,5,1,0,-,5.0,3.0,0.0
,bugs,Bug_DNF.c,Default-LBE-Single.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],237982194.0,5.0331648E+8,5.91288E+7,7,214957460,6149457,2,3,15,22,22,39,15,25,5,1,0,-,5.0,3.0,0.0
,bugs,Bug_DNF.c,None+SBE+SimplifyAssumesSBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],5004557667.0,1.03284736E+9,118411328,14,4973765431,2477828064,2,3,15,25,22,48,22,48,6,7,0,-,4.333333333333333,5.428571428571429,0.0
