,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,LTL/rers2012/P14,Problem14_prop_000.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],30129257461,3.16932096E+9,1.99443248E+9,15,21788573714,1081447926,2,3,548,670,1087,1973,545,1423,14,0,0,-,5.071428571428571,0.0,0.0
,LTL/rers2012/P14,Problem14_prop_000.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],129111215441.0,4131913728,935456672,30,127100305591,21313507373,2,3,548,1696,1087,5051,701,4480,29,0,0,-,4.0,0.0,0.0
,LTL/rers2012/P14,Problem14_prop_000.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],122629327248.0,4096786432,964195296,30,121299094027,19256501559,2,3,548,1696,1087,5051,701,4480,29,0,0,-,4.0,0.0,0.0
,LTL/rers2012/P14,Problem14_prop_000.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],22962079787.0,4193255424,1353875936,15,18809807477,596092928,2,3,548,670,1087,1973,545,1423,14,0,0,-,5.071428571428571,0.0,0.0
,LTL/rers2012/P14,Problem14_prop_001.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1275134824679.0,8234467328,4.90302452E+9,0,4727553,0,1,1,548,670,549,666,9,124,-,-,-,-,-,-,-
,LTL/rers2012/P14,Problem14_prop_001.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: java.util.HashMap.keySet(HashMap.java:997)],753640920331.0,8.27588608E+9,6076626616,0,4529801,0,1,1,548,1696,549,1692,122,1149,-,-,-,-,-,-,-
,LTL/rers2012/P14,Problem14_prop_001.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: de.uni_freiburg.informatik.ultimate.automata.nwalibrary.NestedWordAutomatonFilteredStates$FilteredIterable.iterator(NestedWordAutomatonFilteredStates.java:578)],624719639912.0,7635730432,6241116584,0,4316937,0,1,1,548,1696,549,1692,122,1149,-,-,-,-,-,-,-
,LTL/rers2012/P14,Problem14_prop_001.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1236772842537.0,8112308224,3797350672,0,4772242,0,1,1,548,670,549,666,9,124,-,-,-,-,-,-,-
,LTL/rers2012/P14,Problem14_prop_002.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timout or Toolchain cancelled by user],1250207606682.0,8248098816,2531421712,0,4458062,0,2,3,548,670,1087,1973,545,1429,-,-,-,-,-,-,-
,LTL/rers2012/P14,Problem14_prop_002.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timeout while trying to prove G((A || F(B)))],1204086432125.0,8.27588608E+9,5600452024,21,1202784777878,630200009748,2,3,548,1696,1087,5051,701,4486,21,0,0,Decomposition not yet finished,4.095238095238095,0.0,0.0
