,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,LTL/bugs,Bug_AssumeFalse.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],1109536638,378535936,12895376,3,303087775,16524676,2,4,19,26,29,61,29,61,2,0,0,-,2.5,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],295863824.0,378535936,7635184.0,3,133760825,4341318,2,4,19,26,29,61,29,61,2,0,0,-,2.5,0.0,0.0
,LTL/bugs,Bug_DNF.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],4933747760.0,378535936,15256624,11,4809075864,46122260,2,3,15,22,22,39,22,39,5,5,0,-,5.0,3.8,0.0
,LTL/bugs,Bug_DNF.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],1838523864.0,378535936,1.106172E+7,8,1743696612,50662932,2,3,15,22,22,39,22,39,5,2,0,-,5.0,3.5,0.0
,LTL/bugs,Bug_GloballyNegatedAp.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],81065935.0,378535936,3567792.0,2,32841736,561659,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_GloballyNegatedAp.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],99176927.0,378535936,3569824.0,2,22852806,573644,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_LtlExtractorGreater.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],82121183.0,378535936,4585400.0,2,26929404,559782,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_LtlExtractorGreater.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],47923870.0,378535936,3570040.0,2,19304441,557460,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_LtlExtractorTerm.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],116937875.0,378535936,4565408.0,2,42273500,557690,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_LtlExtractorTerm.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],68914557.0,378535936,4567232.0,2,39666320,546265,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_LtlExtractorUnaryMinus.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],32010987.0,378535936,3574688.0,2,14324232,328363,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_LtlExtractorUnaryMinus.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],38862811.0,378535936,3576328.0,2,18893394,534033,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_NoLoopAtEndForTerminatingPrograms_safe.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],151231785.0,378535936,23158664,6,122981003,9372802,2,3,20,26,31,49,31,49,5,0,0,-,3.8,0.0,0.0
,LTL/bugs,Bug_NoLoopAtEndForTerminatingPrograms_safe.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],140811902.0,378535936,23204888,6,111344758,8317182,2,3,20,26,31,49,31,49,5,0,0,-,3.8,0.0,0.0
,LTL/bugs,Bug_NoLoopAtEndForTerminatingPrograms_unsafe.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property F(A) ,374025485.0,391643136,82348616,3,348994091,2571146,1,1,17,23,16,19,16,19,1,1,0,Nonterminating,3.0,6.0,0.0
