,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,list-ext-properties,960521-1_1_false-valid-deref.c,Automizer-FP-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_DEREF UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],300032853331,362283008,-,-,-,-,-,-,-
,list-ext-properties,960521-1_1_false-valid-deref.c,Kojak-FP-mem.epf,CodeCheckWithBE-C.xml,ExpectedResult: UNSAFE_DEREF UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],334381474223.0,182452224,-,-,-,-,-,-,-
,list-ext-properties,960521-1_1_false-valid-free.c,Automizer-FP-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_FREE UltimateResult: UNSAFE_FREE   free of unallocated memory possible ,85547676925.0,1.8612224E+8,13,0,1177,0,1542,87,-
,list-ext-properties,960521-1_1_false-valid-free.c,Kojak-FP-mem.epf,CodeCheckWithBE-C.xml,ExpectedResult: UNSAFE_FREE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],412591475575.0,228589568,-,-,-,-,-,-,-
,list-ext-properties,960521-1_1_true-valid-memsafety.c,Automizer-FP-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: EOF: de.uni_freiburg.informatik.ultimate.smtsolver.external.Parser$Action$.CUP$do_action(Parser.java:1345)],150218957496.0,2.3855104E+8,-,-,-,-,-,-,-
,list-ext-properties,960521-1_1_true-valid-memsafety.c,Kojak-FP-mem.epf,CodeCheckWithBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],303950956579.0,2.359296E+8,-,-,-,-,-,-,-
,list-ext-properties,list-ext_1_true-valid-memsafety.c,Automizer-FP-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 40) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 35) ShortDescription: Timeout LongDescription: Unable to prove that all allocated memory was freed (line 21) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 50) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 53) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 76) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 75) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 51) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 76) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 80) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 45) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 67) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 54) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 67) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 40) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 41) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 50) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 51) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 65) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 53) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 54) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 61) ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 71) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 77) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 65) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 75) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 45) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 61) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 63) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 63) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 70) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 41) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 70) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 35) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 80) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 77)],300043559735.0,168296448,29,0,8826,0,3563,714,-
,list-ext-properties,list-ext_1_true-valid-memsafety.c,Kojak-FP-mem.epf,CodeCheckWithBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],301654629690.0,171966464,-,-,-,-,-,-,-
,list-ext-properties,list-ext_false-not-label.c,Automizer-FP-mem.epf,AutomizerC.xml,Neither filename nor path nor first line contains a keyword that defines the expected result UltimateResult: a call of __VERIFIER_error() is reachable ,2828562884.0,189792256,9,0,456,0,637,73,-
,list-ext-properties,list-ext_false-not-label.c,Kojak-FP-mem.epf,CodeCheckWithBE-C.xml,Neither filename nor path nor first line contains a keyword that defines the expected result UltimateResult: not all allocated memory was freed ,27184170455.0,228589568,38,0,1664,0,3201,282,0.36666666666666664
