,Folder,File,Settings,Toolchain,Message,Runtime (ns),Peak memory consumption (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,locks,test_locks_10_true-unreach-call.c,Automizer-SMTInterpol.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],3668230544,284695664,26,0,-,-,-,-,-
,locks,test_locks_10_true-unreach-call.c,Kojak-SP-IC-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 161)],30045284372.0,735038104,39,0,2175,0,3457,114,1.0
,locks,test_locks_10_true-unreach-call.c,Kojak-SP-IC.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30043984817.0,47923536,-,-,-,-,-,-,-
,locks,test_locks_10_true-unreach-call.c,Kojak-SP-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30212141646.0,6.7159104E+8,-,-,-,-,-,-,-
,locks,test_locks_10_true-unreach-call.c,Kojak-SP.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 161)],30303086421.0,126233256,39,0,2175,0,3457,114,1.0
,locks,test_locks_10_true-unreach-call.c,Kojak-TreeInterpolation-nBE.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],8069993522.0,610401344,56,0,-1,-1,-1,-1,1.0
,locks,test_locks_10_true-unreach-call.c,SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],2188139729.0,291469328,23,0,1048,0,2054,69,-
,locks,test_locks_10_true-unreach-call.c,SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1927729785.0,463670152,23,0,1036,0,2006,69,-
,locks,test_locks_10_true-unreach-call.c,SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 161)],30002776498.0,692720144,17,0,2777,0,1471,51,-
,locks,test_locks_10_true-unreach-call.c,SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 161)],30005209897.0,23475672,17,0,6664,0,1409,51,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Automizer-SMTInterpol.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],2967748043.0,967162448,26,0,-,-,-,-,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Kojak-SP-IC-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30046190115.0,65825408,-,-,-,-,-,-,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Kojak-SP-IC.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30224797324.0,7.3802504E+8,-,-,-,-,-,-,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Kojak-SP-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30229900659.0,523263752,-,-,-,-,-,-,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Kojak-SP.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30062809401.0,2.2484988E+8,-,-,-,-,-,-,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Kojak-TreeInterpolation-nBE.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],10822628095.0,464404184,67,0,-1,-1,-1,-1,1.0
,locks,test_locks_11_true-unreach-call_false-termination.c,SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],3065638820.0,316508304,26,0,1263,0,2443,78,-
,locks,test_locks_11_true-unreach-call_false-termination.c,SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],3092302314.0,647384144,26,0,1263,0,2443,78,-
,locks,test_locks_11_true-unreach-call_false-termination.c,SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 175)],30004795679.0,9.929154E+8,17,0,3009,0,1624,51,-
,locks,test_locks_11_true-unreach-call_false-termination.c,SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 175)],30008091412.0,651502648,12,0,6144,0,1084,36,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Automizer-SMTInterpol.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5634108719.0,2.8054808E+8,32,0,-,-,-,-,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Kojak-SP-IC-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 189)],30038020528.0,450233184,38,0,2094,0,3803,111,1.0
,locks,test_locks_12_true-unreach-call_false-termination.c,Kojak-SP-IC.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30189768889.0,1.94286604E+9,-,-,-,-,-,-,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Kojak-SP-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30278525869.0,1765327208,-,-,-,-,-,-,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Kojak-SP.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30000101993.0,1564259136,-,-,-,-,-,-,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Kojak-TreeInterpolation-nBE.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],16519083243.0,1511997056,79,0,-1,-1,-1,-1,1.0
,locks,test_locks_12_true-unreach-call_false-termination.c,SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],7086406120.0,377060888,29,0,1515,0,2962,87,-
,locks,test_locks_12_true-unreach-call_false-termination.c,SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],7467273273.0,1819189896,30,0,1581,0,3163,90,-
,locks,test_locks_12_true-unreach-call_false-termination.c,SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 189)],30000348660.0,1916804776,17,0,3253,0,1702,51,-
,locks,test_locks_12_true-unreach-call_false-termination.c,SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 189)],30005015131.0,881331864,11,0,5918,0,1059,33,-
,locks,test_locks_13_true-unreach-call.c,Automizer-SMTInterpol.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],13933089943.0,2229375168,32,0,-,-,-,-,-
,locks,test_locks_13_true-unreach-call.c,Kojak-SP-IC-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 203)],30175012454.0,1849977688,38,0,2094,0,4025,111,1.0
,locks,test_locks_13_true-unreach-call.c,Kojak-SP-IC.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 203)],30192451945.0,1.79930416E+9,38,0,2094,0,4025,111,1.0
,locks,test_locks_13_true-unreach-call.c,Kojak-SP-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30091019309.0,1.7526098E+9,-,-,-,-,-,-,-
,locks,test_locks_13_true-unreach-call.c,Kojak-SP.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30291300749.0,1636253928,-,-,-,-,-,-,-
,locks,test_locks_13_true-unreach-call.c,Kojak-TreeInterpolation-nBE.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],24818788511.0,841397768,92,0,-1,-1,-1,-1,1.0
,locks,test_locks_13_true-unreach-call.c,SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],15602698413.0,1538099872,33,0,1843,0,3650,99,-
,locks,test_locks_13_true-unreach-call.c,SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],12402339603.0,2156659664,32,0,1789,0,3530,96,-
,locks,test_locks_13_true-unreach-call.c,SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 203)],30001745102.0,64889184,17,0,3491,0,1822,51,-
,locks,test_locks_13_true-unreach-call.c,SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30000572412.0,9.047506E+8,-,-,-,-,-,-,-
,locks,test_locks_14_false-unreach-call.c,Automizer-SMTInterpol.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,81186735.0,0,5,0,-,-,-,-,-
,locks,test_locks_14_false-unreach-call.c,Kojak-SP-IC-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,333021304.0,69796512,2,0,18,0,103,3,1.0
,locks,test_locks_14_false-unreach-call.c,Kojak-SP-IC.epf,CodeCheckNoBE-C.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,247414597.0,69796512,-,-,-,-,-,-,-
,locks,test_locks_14_false-unreach-call.c,Kojak-SP-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,283416490.0,69796512,-,-,-,-,-,-,-
,locks,test_locks_14_false-unreach-call.c,Kojak-SP.epf,CodeCheckNoBE-C.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,275572691.0,69796512,2,0,18,0,103,3,1.0
,locks,test_locks_14_false-unreach-call.c,Kojak-TreeInterpolation-nBE.epf,CodeCheckNoBE-C.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,53734955.0,0,-,-,-,-,-,-,-
,locks,test_locks_14_false-unreach-call.c,SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,140822378.0,69796512,3,0,104,0,222,6,-
,locks,test_locks_14_false-unreach-call.c,SP-IC.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,109717702.0,1.3958448E+8,1,0,0,0,0,0,-
,locks,test_locks_14_false-unreach-call.c,SP-LV.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   a call of __VERIFIER_error() is reachable ,80205101.0,1.3958448E+8,1,0,0,0,0,0,-
,locks,test_locks_14_false-unreach-call.c,SP.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 217)],30032044808.0,1060270344,9,0,6408,0,966,27,-
,locks,test_locks_14_true-unreach-call.c,Automizer-SMTInterpol.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 217)],30163801493.0,2129372872,35,0,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,Kojak-SP-IC-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30072380363.0,161565592,-,-,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,Kojak-SP-IC.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 217)],30101286199.0,900060784,38,0,2094,0,4247,111,1.0
,locks,test_locks_14_true-unreach-call.c,Kojak-SP-LV.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30215210853.0,6.8912396E+8,-,-,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,Kojak-SP.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30054505486.0,300219408,-,-,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,Kojak-TreeInterpolation-nBE.epf,CodeCheckNoBE-C.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],30009389342.0,1124233768,-,-,-,-,-,-,-
,locks,test_locks_14_true-unreach-call.c,SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 217)],31470688575.0,2610334888,33,0,1959,0,3910,99,-
