,Folder,File,Settings,Toolchain,Message,Runtime (ns),Peak memory consumption (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,heap-manipulation,bubble_sort_linux_false-unreach-call.i,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60004241496,49249072,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_false-unreach-call.i,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: UnsupportedOperationException: Cannot interpolate [((select (store #memory_$Pointer$.base_23 __list_add_~prev.base_20 (store (select #memory_$Pointer$.base_23 __list_add_~prev.base_20) (+ |#offset~STRUCT#?next~$Pointer$?prev~$Pointer$#~next| __list_add_~prev.offset_20) __list_add_~new.base_20)) __list_add_~prev.base_20) == (select #memory_$Pointer$.base_32 inspect_~head.base_41)::(__list_add_~prev.base_20 __list_add_#in~prev.base_19 list_add_~head.base_17 list_add_#in~head.base_16 ~#gl_list.base_2 inspect_#in~head.base_40 inspect_~head.base_41::((store #memory_$Pointer$.base_23 __list_add_~prev.base_20 (store (select #memory_$Pointer$.base_23 __list_add_~prev.base_20) (+ |#offset~STRUCT#?next~$Pointer$?prev~$Pointer$#~next| __list_add_~prev.offset_20) __list_add_~new.base_20)) #memory_$Pointer$.base_24 (store #memory_$Pointer$.base_24 gl_insert_~node~30.base_13 (store (select #memory_$Pointer$.base_24 gl_insert_~node~30.base_13) (+ gl_insert_~node~30.offset_13 |#offset~STRUCT#?next~$Pointer$?prev~$Pointer$#~next| |#offset~STRUCT#?value~INT?linkage~STRUCT#?next~$Pointer$?prev~$Pointer$#?nested~STRUCT#?next~$Pointer$?prev~$Pointer$##~nested|) gl_insert_~node~30.base_13)) #memory_$Pointer$.base_31 (store #memory_$Pointer$.base_31 gl_insert_~node~30.base_13 (store (select #memory_$Pointer$.base_31 gl_insert_~node~30.base_13) (+ gl_insert_~node~30.offset_13 |#offset~STRUCT#?next~$Pointer$?prev~$Pointer$#~next| |#offset~STRUCT#?value~INT?linkage~STRUCT#?next~$Pointer$?prev~$Pointer$#?nested~STRUCT#?next~$Pointer$?prev~$Pointer$##~nested|) gl_insert_~node~30.base_13)) #memory_$Pointer$.base_32)]: de.uni_freiburg.informatik.ultimate.smtinterpol.interpolate.Interpolator.interpolate(Interpolator.java:570)],2908545186,17044128,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_false-unreach-call.i,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],998090721,64558968,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_false-unreach-call.i,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],724070459,6.429324E+7,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_false-unreach-call.i,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],68500909750,56546768,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_false-unreach-call.i,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],67739595819,4.097332E+7,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_false-unreach-call.i,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],67035292909.0,3.896988E+7,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_false-unreach-call.i,Z3_SP.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],63499648533.0,39595376,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_true-unreach-call.i,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60341365875,3.989864E+7,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_true-unreach-call.i,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: UnsupportedOperationException: Cannot interpolate [((select (store #memory_$Pointer$.base_23 __list_add_~prev.base_20 (store (select #memory_$Pointer$.base_23 __list_add_~prev.base_20) (+ |#offset~STRUCT#?next~$Pointer$?prev~$Pointer$#~next| __list_add_~prev.offset_20) __list_add_~new.base_20)) __list_add_~prev.base_20) == (select #memory_$Pointer$.base_32 inspect_~head.base_41)::(__list_add_~prev.base_20 __list_add_#in~prev.base_19 list_add_~head.base_17 list_add_#in~head.base_16 ~#gl_list.base_2 inspect_#in~head.base_40 inspect_~head.base_41::((store #memory_$Pointer$.base_23 __list_add_~prev.base_20 (store (select #memory_$Pointer$.base_23 __list_add_~prev.base_20) (+ |#offset~STRUCT#?next~$Pointer$?prev~$Pointer$#~next| __list_add_~prev.offset_20) __list_add_~new.base_20)) #memory_$Pointer$.base_24 (store #memory_$Pointer$.base_24 gl_insert_~node~30.base_13 (store (select #memory_$Pointer$.base_24 gl_insert_~node~30.base_13) (+ gl_insert_~node~30.offset_13 |#offset~STRUCT#?next~$Pointer$?prev~$Pointer$#~next| |#offset~STRUCT#?value~INT?linkage~STRUCT#?next~$Pointer$?prev~$Pointer$#?nested~STRUCT#?next~$Pointer$?prev~$Pointer$##~nested|) gl_insert_~node~30.base_13)) #memory_$Pointer$.base_31 (store #memory_$Pointer$.base_31 gl_insert_~node~30.base_13 (store (select #memory_$Pointer$.base_31 gl_insert_~node~30.base_13) (+ gl_insert_~node~30.offset_13 |#offset~STRUCT#?next~$Pointer$?prev~$Pointer$#~prev| |#offset~STRUCT#?value~INT?linkage~STRUCT#?next~$Pointer$?prev~$Pointer$#?nested~STRUCT#?next~$Pointer$?prev~$Pointer$##~nested|) gl_insert_~node~30.base_13)) #memory_$Pointer$.base_32)]: de.uni_freiburg.informatik.ultimate.smtinterpol.interpolate.Interpolator.interpolate(Interpolator.java:570)],557913087.0,26297824,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_true-unreach-call.i,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],420192619,30361016,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_true-unreach-call.i,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],353430620,18376592,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_true-unreach-call.i,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],65751704638.0,5.911396E+7,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_true-unreach-call.i,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],115141276516.0,42276296,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_true-unreach-call.i,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],63072267941.0,39548888,-,-,-,-,-,-,-
,heap-manipulation,bubble_sort_linux_true-unreach-call.i,Z3_SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],71036153005.0,39799104,-,-,-,-,-,-,-
,heap-manipulation,dll_of_dll_false-unreach-call.i,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Complicated quantifier scheme preventing interpolation.It might be necessary to manually add triggers or to switchoff proof construction and interpolation.: de.uni_freiburg.informatik.ultimate.smtsolver.external.Parser$Action$.CUP$do_action(Parser.java:1338)],33861302444.0,45134592,-,-,-,-,-,-,-
