,Folder,File,Settings,Toolchain,Message,Runtime (ns),Peak memory consumption (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,locks,test_locks_10_true-unreach-call.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5048771217,128910888,28,0,-,-,-,-,-
,locks,test_locks_10_true-unreach-call.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1429125846.0,34025752,27,0,-,-,-,-,-
,locks,test_locks_10_true-unreach-call.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1395332436.0,443526248,28,0,1273,0,2538,84,-
,locks,test_locks_10_true-unreach-call.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1334124322.0,264696592,28,0,1269,0,2548,84,-
,locks,test_locks_10_true-unreach-call.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1587640926.0,174900944,28,0,1268,0,2544,84,-
,locks,test_locks_10_true-unreach-call.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],1663527878.0,2.803984E+7,28,0,1272,0,2560,84,-
,locks,test_locks_10_true-unreach-call.c,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],24217021802.0,256697048,20,0,3601,0,1814,60,-
,locks,test_locks_10_true-unreach-call.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 161)],60003535460.0,902568344,71,0,31027,0,5968,213,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5154691216.0,536287496,30,0,-,-,-,-,-
,locks,test_locks_11_true-unreach-call_false-termination.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],2367006541.0,4.38892E+8,30,0,-,-,-,-,-
,locks,test_locks_11_true-unreach-call_false-termination.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],2298514969.0,573031088,31,0,1517,0,3039,93,-
,locks,test_locks_11_true-unreach-call_false-termination.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],2527279252.0,7.999294E+8,31,0,1516,0,3064,93,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],2965279563.0,9.5151904E+8,31,0,1515,0,3060,93,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],2866028852.0,865154384,31,0,1514,0,3056,93,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],36301970120.0,651665728,22,0,4577,0,2155,66,-
,locks,test_locks_11_true-unreach-call_false-termination.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that call of __VERIFIER_error() unreachable (line 175)],60006888957.0,131341768,55,0,28160,0,5018,165,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],8424493933.0,945065344,33,0,-,-,-,-,-
,locks,test_locks_12_true-unreach-call_false-termination.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5159306821.0,348571104,33,0,-,-,-,-,-
,locks,test_locks_12_true-unreach-call_false-termination.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5184005971.0,901992856,34,0,1778,0,3601,102,-
,locks,test_locks_12_true-unreach-call_false-termination.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5405883138.0,327310696,33,0,1730,0,3495,99,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5764615980.0,293855288,34,0,1779,0,3605,102,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],5790025967.0,2.6842576E+8,34,0,1778,0,3601,102,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Z3_SP-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],54573181095.0,2.3839456E+8,24,0,5713,0,2534,72,-
,locks,test_locks_12_true-unreach-call_false-termination.c,Z3_SP.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60000908250.0,6.2538664E+8,-,-,-,-,-,-,-
,locks,test_locks_13_true-unreach-call.c,Princess_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],16247575708.0,672992112,37,0,-,-,-,-,-
,locks,test_locks_13_true-unreach-call.c,SMTInterpol_Interpolation.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],12142084639.0,515981144,36,0,-,-,-,-,-
,locks,test_locks_13_true-unreach-call.c,SMTInterpol_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],13537836363.0,971279128,36,0,2014,0,4086,108,-
,locks,test_locks_13_true-unreach-call.c,SMTInterpol_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],11955442764.0,958201752,37,0,2066,0,4203,111,-
,locks,test_locks_13_true-unreach-call.c,Z3_SP-IC-LV.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],12784047835.0,574586784,37,0,2068,0,4176,111,-
,locks,test_locks_13_true-unreach-call.c,Z3_SP-IC.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],13527528627.0,459416712,36,0,2010,0,4070,108,-
