,Folder,File,Settings,Toolchain,Message,Runtime (ns),Peak memory consumption (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,memory-alloca,Avery-2006FLOPS-Tabel1_true-alloca_true-valid-memsafety.i,Princess_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 55 specifications checked. All of them hold],49659850975,37367056,14,0,-,-,-,-,-
,memory-alloca,Avery-2006FLOPS-Tabel1_true-alloca_true-valid-memsafety.i,SMTInterpol_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: UnsupportedOperationException: Cannot interpolate [((select (store #length_10 subxy_#t~malloc2.base_12 4) subxy_#t~malloc2.base_12) == (select #length_14 subxy_~x_ref~2.base_9)::(subxy_#t~malloc2.base_12 subxy_#t~malloc0.base_8 subxy_~x_ref~2.base_9::((store #length_10 subxy_#t~malloc2.base_12 4) #length_12 (store #length_12 subxy_#t~malloc3.base_14 4) #length_14)]: de.uni_freiburg.informatik.ultimate.smtinterpol.interpolate.Interpolator.interpolate(Interpolator.java:570)],265954865.0,8511160.0,-,-,-,-,-,-,-
,memory-alloca,Avery-2006FLOPS-Tabel1_true-alloca_true-valid-memsafety.i,SMTInterpol_SP-IC-LV-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],408203665.0,13848552,-,-,-,-,-,-,-
,memory-alloca,Avery-2006FLOPS-Tabel1_true-alloca_true-valid-memsafety.i,SMTInterpol_SP-IC-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],2192394077.0,2.310856E+7,-,-,-,-,-,-,-
,memory-alloca,Avery-2006FLOPS-Tabel1_true-alloca_true-valid-memsafety.i,Z3_SP-IC-LV-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 547) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 560) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 552) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 546) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 545) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 552) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 560) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that all allocated memory was freed (line 562) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 546) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 547) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 545)],63341198771.0,57988544,9,0,740,0,872,68,-
,memory-alloca,Avery-2006FLOPS-Tabel1_true-alloca_true-valid-memsafety.i,Z3_SP-IC-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 546) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 545) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that all allocated memory was freed (line 562) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 552) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 547) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 552) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 546) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 547) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 560) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 545) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 560) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548)],63489493308.0,21907736,9,0,937,0,900,66,-
,memory-alloca,Avery-2006FLOPS-Tabel1_true-alloca_true-valid-memsafety.i,Z3_SP-LV-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],61656898536.0,22956944,-,-,-,-,-,-,-
,memory-alloca,Avery-2006FLOPS-Tabel1_true-alloca_true-valid-memsafety.i,Z3_SP-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 545) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 560) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 560) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 552) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 546) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 547) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that all allocated memory was freed (line 562) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 542) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 556) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 547) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 545) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 541) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 552) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 544) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 549) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 546) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 557) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 558) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 554) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 543) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 553) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 548)],60012148868.0,24801168,8,0,8870,0,826,53,-
,memory-alloca,Ben-Amram-2010LMCS-Ex2.3-alloca_true-valid-memsafety.i,Princess_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 43 specifications checked. All of them hold],40969454760.0,20648664,11,0,-,-,-,-,-
,memory-alloca,Ben-Amram-2010LMCS-Ex2.3-alloca_true-valid-memsafety.i,SMTInterpol_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: UnsupportedOperationException: Cannot interpolate [((select (store #valid_4 main_#t~malloc0.base_5 true) main_#t~malloc0.base_5) == (select #valid_9 main_~x~2.base_6)::(main_#t~malloc0.base_5 main_~x~2.base_6::((store #valid_4 main_#t~malloc0.base_5 true) #valid_5 (store #valid_5 main_#t~malloc1.base_7 true) #valid_7 (store #valid_7 main_#t~malloc2.base_9 true) #valid_9)]: de.uni_freiburg.informatik.ultimate.smtinterpol.interpolate.Interpolator.interpolate(Interpolator.java:570)],49889366.0,4982808.0,-,-,-,-,-,-,-
