,Folder,File,Settings,Toolchain,Message,Runtime (ns),Peak memory consumption (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,memsafety,20020406-1_false-valid-memtrack.i,Princess_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: timeout when constructing full model: de.uni_freiburg.informatik.ultimate.smtsolver.external.Parser$Action$.CUP$do_action(Parser.java:1338)],47710190050,45112016,-,-,-,-,-,-,-
,memsafety,20020406-1_false-valid-memtrack.i,SMTInterpol_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: UnsupportedOperationException: Cannot interpolate [((select (store #valid_4 main_~#cf~15.base_5 true) main_~#cf~15.base_5) == (select #valid_6 main_~#cf~15.base_5)::((store #valid_4 main_~#cf~15.base_5 true) #valid_5 (store #valid_5 main_~#cg~15.base_6 true) #valid_6)]: de.uni_freiburg.informatik.ultimate.smtinterpol.interpolate.Interpolator.interpolate(Interpolator.java:570)],378606086,15469824,-,-,-,-,-,-,-
,memsafety,20020406-1_false-valid-memtrack.i,SMTInterpol_SP-IC-LV-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],472771255.0,14596048,-,-,-,-,-,-,-
,memsafety,20020406-1_false-valid-memtrack.i,SMTInterpol_SP-IC-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: UNSAFE_DEREF   pointer dereference may fail ,1788660166,57653456,9,0,510,0,641,52,-
,memsafety,20020406-1_false-valid-memtrack.i,Z3_SP-IC-LV-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: UNSAFE_DEREF   pointer dereference may fail ,2171956480.0,58684696,10,0,393,0,691,50,-
,memsafety,20020406-1_false-valid-memtrack.i,Z3_SP-IC-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: UNSAFE_DEREF   pointer dereference may fail ,2272328121.0,4.104408E+7,9,0,450,0,641,44,-
,memsafety,20020406-1_false-valid-memtrack.i,Z3_SP-LV-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],63800353718.0,39272632,-,-,-,-,-,-,-
,memsafety,20020406-1_false-valid-memtrack.i,Z3_SP-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 891) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 867) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 904) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 927) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 865) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 934) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 934) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 927) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 904) ShortDescription: Timeout LongDescription: Unable to prove that all allocated memory was freed (line 931) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 891) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 900) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 928) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 908) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 933) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 867) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 933) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 908) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 904) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 904) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 868) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 933) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 891) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 928) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 897) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 900) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 891) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 860) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 933) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 933) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 897) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 908) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 897) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 935) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 935) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 908) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 900) ShortDescription: Timeout LongDescription: Unable to prove that free always succeeds (line 933) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 897) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 897) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 865) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 935) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 900) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 900) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 935) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 866) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 934) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 860) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 933) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 935) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 900) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 934) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 934) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 868) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 897) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 866) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 933) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 934) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 935)],64190862333.0,3.935224E+7,3,0,965,0,175,12,-
,memsafety,20051113-1.c_false-valid-memtrack.i,Princess_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60079557107.0,40356056,-,-,-,-,-,-,-
,memsafety,20051113-1.c_false-valid-memtrack.i,SMTInterpol_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: UnsupportedOperationException: Cannot interpolate [((select (store (select #memory_int_4 main_~p~10.base_6) (+ |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~Count| main_~p~10.offset_6) 3) (+ |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~Count| main_~p~10.offset_6)) == (select (select #memory_int_15 Sum_~instrs.base_17) (+ |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~Count| Sum_~instrs.offset_17))::((+ |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~Count| main_~p~10.offset_6) 0 (+ |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~Count| Sum_~instrs.offset_17)::((store (select #memory_int_4 main_~p~10.base_6) (+ |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~Count| main_~p~10.offset_6) 3) (select (store #memory_int_4 main_~p~10.base_6 (store (select #memory_int_4 main_~p~10.base_6) (+ |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~Count| main_~p~10.offset_6) 3)) main_~p~10.base_6) (select #memory_int_9 main_~p~10.base_6) (store (select #memory_int_9 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List|) 555) (select (store #memory_int_9 main_~p~10.base_6 (store (select #memory_int_9 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List|) 555)) main_~p~10.base_6) (select #memory_int_10 main_~p~10.base_6) (store (select #memory_int_10 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 36) 999) (select (store #memory_int_10 main_~p~10.base_6 (store (select #memory_int_10 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 36) 999)) main_~p~10.base_6) (select #memory_int_11 main_~p~10.base_6) (store (select #memory_int_11 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 72) 4311810305) (select (store #memory_int_11 main_~p~10.base_6 (store (select #memory_int_11 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 72) 4311810305)) main_~p~10.base_6) (select #memory_int_12 main_~p~10.base_6) (store (select #memory_int_12 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List|) 555) (select (store #memory_int_12 main_~p~10.base_6 (store (select #memory_int_12 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List|) 555)) main_~p~10.base_6) (select #memory_int_13 main_~p~10.base_6) (store (select #memory_int_13 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 36) 999) (select (store #memory_int_13 main_~p~10.base_6 (store (select #memory_int_13 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 36) 999)) main_~p~10.base_6) (select #memory_int_14 main_~p~10.base_6) (store (select #memory_int_14 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 72) 4311810305) (select (store #memory_int_14 main_~p~10.base_6 (store (select #memory_int_14 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 72) 4311810305)) main_~p~10.base_6) (select #memory_int_15 Sum_~instrs.base_17)::((store #memory_int_13 main_~p~10.base_6 (store (select #memory_int_13 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 36) 999)) #memory_int_14::(#memory_int_15 (store #memory_int_14 main_~p~10.base_6 (store (select #memory_int_14 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 72) 4311810305))::(Sum_~instrs.base_17 Sum_#in~instrs.base_16 main_~p~10.base_6::((store #memory_int_12 main_~p~10.base_6 (store (select #memory_int_12 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count2| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List|) 555)) #memory_int_13::((store #memory_int_11 main_~p~10.base_6 (store (select #memory_int_11 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 72) 4311810305)) #memory_int_12::((store #memory_int_10 main_~p~10.base_6 (store (select #memory_int_10 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List| 36) 999)) #memory_int_11::((store #memory_int_9 main_~p~10.base_6 (store (select #memory_int_9 main_~p~10.base_6) (+ |#offset~STRUCT#?a~INT?b~UINT?c~UINT?Count~ULONGLONG?Count2~LONGLONG#~Count| main_~p~10.offset_6 |#offset~STRUCT#?a~~Struct1?b~~Struct2#~a| |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~List|) 555)) #memory_int_10::((store #memory_int_4 main_~p~10.base_6 (store (select #memory_int_4 main_~p~10.base_6) (+ |#offset~STRUCT#?Count~INT?List~ARRAY#_1_~~Union##~Count| main_~p~10.offset_6) 3)) #memory_int_9)]: de.uni_freiburg.informatik.ultimate.smtinterpol.interpolate.Interpolator.interpolate(Interpolator.java:570)],1768606493.0,5844288.0,-,-,-,-,-,-,-
